H01|010201|601687|2021-12-31|LBBPRK|1400|0|
D01|000|2299010100|0
D01|000|2299010201|0
D01|000|2299010202|26712329
D01|000|2299010301|0
D01|000|2299010302|0
D01|000|2299010401|0
D01|000|2299010402|0
D01|000|2299010501|0
D01|000|2299010502|0
D01|000|2299019900|0
D01|000|2299020000|64190000
D01|000|2299030000|0
D01|000|2299040000|0
D01|000|2299050000|0
D01|000|2299060000|0
D01|000|2299070000|0
D01|000|2299990000|41289580
D01|001|2299010100|0
D01|001|2299010201|0
D01|001|2299010202|26712329
D01|001|2299010301|0
D01|001|2299010302|0
D01|001|2299010401|0
D01|001|2299010402|0
D01|001|2299010501|0
D01|001|2299010502|0
D01|001|2299019900|0
D01|001|2299020000|64190000
D01|001|2299030000|0
D01|001|2299040000|0
D01|001|2299050000|0
D01|001|2299060000|0
D01|001|2299070000|0
D01|001|2299990000|41289580
